ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"Natural Language Processing, Large Language Model","This tool saves HMT staff significant time in finding and reading through a large number of documents, many of which may not contain relevant information. The tool provides direct links and references to documents.",03/06/2025,DataManagement@hmtreasury.gov.uk,HM Treasury,gov.uk,Data Hub,,Information extracted from the GOV.UK Algorithmic Transparency Record for HERMeS tool used by HM Treasury.,https://www.gov.uk/algorithmic-transparency-records/hmt-hermes-hmts-excerpt-retrieval-messaging-system,live,HERMeS (HMT's Excerpt Retrieval Messaging System),Search and Retrieval
Not AI,"Provides a comprehensive overview of HM Land Registry's performance, achievements, and financial status for the 2022-2023 period. Highlights include a 12% increase in output, digital transformation efforts, and progress on sustainability goals.",18/07/2023,,HM Land Registry,gov.uk,HM Land Registry,,The content is extracted from the Performance Report section of HM Land Registry's Annual Report and Accounts 2022 to 2023.,https://www.gov.uk/government/publications/hm-land-registry-annual-report-and-accounts-2022-to-2023/performance-report,live,HM Land Registry Annual Report and Accounts 2022 to 2023,Not AI
Not AI,"Prevents tax evasion and avoidance, collects more tax owed, reduces unfair burden on honest taxpayers, provides more money for public services",08/05/2015,,HM Revenue & Customs,gov.uk,HM Revenue & Customs,,Government policy on reducing tax evasion and avoidance (2010-2015),https://www.gov.uk/government/publications/2010-to-2015-government-policy-tax-evasion-and-avoidance/2010-to-2015-government-policy-tax-evasion-and-avoidance,live,HMRC Tax Evasion and Avoidance Policy,Not AI
"Natural Language Processing, Machine Learning","Improved efficiency in processing correspondence, saving several hours of manual work per day for multiple team members. Automated summarisation and flagging ensures timely identification of high-priority, high-risk, and meeting request correspondence. Automatic matching of correspondence with appropriate standard responses. These together enable better prioritisation and management of correspondence which frees up team members to focus on more complex tasks.",17/12/2024,DataManagement@hmtreasury.gov.uk,HM Treasury,gov.uk,"Correspondence and Information Rights Team, Data Science Hub",,GOV.UK Algorithmic Transparency Record for HM Treasury's Correspondence Triage Automation Tool.,https://www.gov.uk/algorithmic-transparency-records/hmt-correspondence-triage-automation-tool,live,Correspondence Triage Automation Tool,Workflow Automation
Machine Learning,"Automatically categorizes emails, allowing colleagues to devote more time to pressing actions, ensure SLAs are met, and save time on manual triage",,,Home Office,gov.uk,National Law Enforcement team,,"Information extracted from interview with Matt, a Software Developer at the Home Office",https://careers.homeoffice.gov.uk/story/matt-ddat-2,live,Email Triage Tool,Workflow Automation
"Natural Language Processing, Other","Saves officials 60 minutes of admin for each hour-long meeting. Streamlines note-taking and record keeping, allowing staff to focus on core tasks rather than paperwork. Helps speed up actions after planning meetings and take detailed notes in social care meetings.",23/05/2025,press@dsit.gov.uk,UK Government,gov.uk,"Department for Science, Innovation and Technology",,Part of 'Humphrey' AI suite being trialed by 25 local councils in the UK to improve administrative efficiency.,https://www.gov.uk/government/news/ai-experiments-see-humphrey-help-townhalls-cut-costs-and-improve-services,pilot,Minute,Workflow Automation
"Computer Vision, Machine Learning","13% increase in cancer detection, faster diagnosis, prioritization of urgent cases, potentially fewer biopsies and additional testing needed",27/07/2023,,NHS Wales,wales.gov,Betsi Cadwaladr Health Board,,Press release from Welsh Government announcing AI use in cancer diagnosis,https://www.gov.wales/ai-helping-diagnose-cancer-wales,pilot,IBEX Galen AI platform,Health AI
"Machine Learning, Computer Vision","Proactively finds and repairs faults along the railway before they impact journeys. Helps plan and prioritize maintenance repair work, avoid delays, reduce risk, save money, extend asset life, and reduce disruptions.",22/12/2023,,Network Rail,networkrail.co.uk,Network Rail,,Insight: Network Rail's web app using AI for improved railway maintenance and operations with data from various sources.,https://www.networkrail.co.uk/stories/using-artificial-intelligence-to-create-a-better-railway/,live,Insight,Predictive Analytics
"Machine Learning, Other","Enables rapid, consistent habitat classification from Earth observation data",,,Joint Nature Conservation Committee,Government,Joint Nature Conservation Committee,,Information extracted from JNCC Report No. 753: HabClass: a novel machine learning approach for habitat classification,https://data.jncc.gov.uk/data/fdc172a1-c319-4586-a7db-841eb2beaeba/jncc-report-753.pdf,live,HabClass,Vision AI
Computer Vision,Helps with the critical decision – Recall or No - Recall; Will be used as a backup option when hospitals are short staffed,,info.emrad@nuh.nhs.uk,Kheiron,emrad.nhs.uk,EMRAD,,"Kheiron's MIA™ AI for breast cancer screening, partnered with EMRAD. In development for 3 years, now CE marked.",https://emrad.nhs.uk/workstreams/research-and-innovation/792-kheiron-mia,pilot,MIA™,Vision AI
Machine Learning,"Prioritizes inspections based on risk, ensures efficient use of resources, improves fire safety compliance, and reduces fire risks in London's built environment",,,London Fire Brigade,london-fire.gov.uk,London Fire Brigade,,Risk-Based Inspection Programme uses ML to identify and prioritize high-risk buildings for fire safety inspections.,https://www.london-fire.gov.uk/media/7379/lfc23-004-riskbasedinspectionprogramme-1.pdf,live,Risk-Based Inspection Programme,Predictive Analytics
"Computer Vision, Machine Learning","Shows extent and distribution of habitats across England, providing insight into natural capital assets and informing land management decisions. Can be used for environmental policy decision making, habitat assessments, natural capital assessment, ecosystem service modeling, and updating evidence for Environmental Land Management schemes.",05/04/2022,earth.observation@naturalengland.org.uk,Natural England,gov.uk,"Living England team, Natural England",,Blog post describing the newly launched Living England Habitat Probability Map project.,https://naturalengland.blog.gov.uk/2022/04/05/living-england-from-satellite-imagery-to-a-national-scale-habitat-map/,live,Living England Habitat Probability Map,Vision AI
"Computer Vision, Machine Learning","National scale field data collection is expensive, resource intensive, access restrictive and not readily updatable. This project and the Living England tool allows us to take advantage of openly available satellite imagery to predictively model habitat presence given habitat labelled data collected through our ground datasets and their relationships with environmental variables. This is beneficial to traditional processes as it is cost-effective, reproducible and transparent, and can be readily updated providing full coverage across England. With this approach we can monitor habitats in the landscape and how they are changing over time.",,livingenglandenquiries@naturalengland.org.uk,Natural England,"Department for Environment, Food and Rural Affairs","Living England, Natural Capital Ecosystem Assessment (NCEA), Evidence Directorate",,Information extracted from the Algorithmic Transparency Record for Natural England's Living England project.,https://www.data.gov.uk/dataset/e207e1b3-72e2-4b6a-8aec-0c7b8bb9998c/living-england-habitat-map-phase-4,live,Living England,Vision AI
Computer Vision,Process completion time reduced from 3 days to 3-4 hours; findings improved by fivefold from previous search methods; 10-20 URLs containing misused logos by third-parties are taken down monthly; enhanced protection of HMRC's and HMG's brand integrity and customer trust; increased interest from other departments for wider application across government agencies.,10/02/2025,atrs-team@hmrc.gov.uk,HM Revenue & Customs,gov.uk,Data Science Services,,"HMRC's Logo Detection and Classification Toolkit (LDK) for detecting misused logos, improving brand protection.",https://www.gov.uk/algorithmic-transparency-records/hmrc-logo-detection-and-classification-toolkit-ldk,live,Logo Detection and Classification Toolkit (LDK),Vision AI
